32874	25
32875	23
32876	23
32877	16
32878	20.5
32879	20
32880	23
32881	25
32882	28
32883	31
32884	26
32885	22
32886	20
32887	28
32888	27
32889	23
32890	22
32891	20
32892	18
32893	20
32894	25
32895	24
32896	24
32897	27.5
32898	32
32899	22.5
32900	29
32901	27
32902	26
32903	27
32904	26
32905	19
32906	20.5
32907	20
32908	20.5
32909	24
32910	24
32911	24
32912	22
32913	28.5
32914	28
32915	29
32916	27
32917	26
32918	18
32919	17
32920	18
32921	19.5
32922	22
32923	23
32924	23
32925	24
32926	25
32927	27
32928	32
32929	31
32930	27
32931	27
32932	28
32933	27
32934	32
32935	32
32936	30
32937	28
32938	25
32939	28
32940	28
32941	28
32942	19
32943	22
32944	25
32945	28
32946	23
32947	26
32948	29
32949	31
32950	30
32951	30.5
32952	38.5
32953	33
32954	32
32955	36
32956	38.5
32957	32
32958	30
32959	30.5
32960	22
32961	24
32962	26.5
32963	28
32964	26
32965	27
32966	27
32967	31
32968	28.5
32969	32
32970	32
32971	31
32972	32
32973	34
32974	37.5
32975	38
32976	37.5
32977	39
32978	36
32979	35
32980	34
32981	32
32982	31
32983	33
32984	36.5
32985	35
32986	33
32987	36
32988	31
32989	32
32990	33
32991	33.5
32992	35
32993	38
32994	32
32995	29
32996	33
32997	37
32998	38
32999	33
33000	32
33001	33
33002	34
33003	35.5
33004	38.5
33005	38
33006	36
33007	37
33008	35
33009	36
33010	34
33011	36
33012	36.5
33013	36
33014	37
33015	38
33016	36
33017	37
33018	38
33019	38.5
33020	37
33021	36
33022	35
33023	37
33024	35
33025	36.5
33026	37.5
33027	37
33028	37
33029	36
33030	37.5
33031	39
33032	39
33033	38.5
33034	37.5
33035	38
33036	37
33037	38
33038	39
33039	39
33040	39
33041	38
33042	39
33043	39
33044	39.5
33045	39.5
33046	39
33047	39.5
33048	39
33049	40.5
33050	39
33051	39
33052	37
33053	36.5
33054	38.5
33055	38
33056	37
33057	36
33058	35
33059	37
33060	35
33061	35
33062	34
33063	35
33064	35
33065	36
33066	34
33067	35
33068	34.5
33069	34
33070	34
33071	35
33072	34
33073	33
33074	34
33075	34.5
33076	34
33077	32
33078	32
33079	32
33080	35
33081	32.5
33082	31.5
33083	33
33084	34
33085	31
33086	34
33087	34
33088	35
33089	35.5
33090	36
33091	36
33092	38
33093	38
33094	35
33095	34
33096	31
33097	32
33098	31
33099	32
33100	34
33101	35
33102	37
33103	37.5
33104	37
33105	37
33106	38
33107	39
33108	39.5
33109	39
33110	38
33111	35.5
33112	36
33113	36
33114	37
33115	36
33116	37.5
33117	36
33118	35
33119	34
33120	35
33121	36
33122	37
33123	37.5
33124	36.5
33125	37.5
33126	34
33127	34
33128	33.5
33129	33
33130	34
33131	33.5
33132	35
33133	35
33134	36
33135	34
33136	34
33137	31
33138	32
33139	35.5
33140	35
33141	36
33142	37.5
33143	38.5
33144	34
33145	39.5
33146	37
33147	25
33148	28
33149	31.5
33150	34.5
